,width,height
810,300,457
811,300,439
812,300,418
813,300,453
814,300,450
815,265,475
816,300,450
817,300,434
818,300,300
819,225,366
820,300,444
821,216,341
822,258,475
823,271,475
824,300,444
825,300,424
826,300,434
827,300,444
828,300,415
829,300,424
830,300,450
831,300,437
832,216,324
833,300,424
834,300,437
835,300,423
836,300,423
837,225,341
838,300,429
839,299,475
840,300,401
841,300,471
842,280,400
843,282,400
844,216,317
845,300,426
846,300,422
847,300,428
848,300,431
849,300,444
850,300,408
851,225,357
852,144,260
853,300,450
854,300,444
855,300,427
856,300,448
857,300,428
858,300,464
859,300,450
860,300,414
861,300,423
862,300,429
863,300,447
864,300,401
865,300,399
866,300,450
867,263,475
868,300,405
869,300,439
870,300,430
871,300,438
872,216,341
873,300,413
874,300,450
875,300,427
876,300,210
877,262,475
878,216,324
879,300,432
880,216,330
881,300,380
882,300,450
883,264,475
884,216,308
885,300,426
886,216,323
887,300,436
888,279,475
889,300,450
890,89,132
891,300,450
892,300,424
893,300,400
894,300,443
895,300,432
896,300,450
897,300,425
898,300,419
899,300,422
900,267,475
901,300,450
902,300,450
903,300,440
904,300,450
905,300,300
906,200,300
907,300,450
908,300,443
909,258,475
910,300,435
911,300,444
912,150,213
913,300,450
914,300,423
915,300,196
916,300,425
917,300,444
918,300,445
919,300,450
920,280,400
921,269,475
922,216,337
923,300,183
924,300,430
925,300,450
926,216,323
927,262,475
928,300,450
929,300,201
930,300,429
931,300,450
932,300,450
933,296,475
934,300,450
935,300,444
936,300,425
937,300,459
938,300,450
939,266,475
940,300,338
941,300,208
942,197,295
943,300,450
944,300,434
945,300,425
946,216,326
947,300,425
948,216,332
949,300,444
950,300,429
951,300,412
952,216,338
953,300,423
954,300,436
955,300,366
956,300,427
957,216,331
958,300,444
959,300,436
960,300,444
961,300,431
962,300,448
963,216,326
964,300,420
965,300,433
966,300,434
967,300,437
968,300,425
969,300,424
970,300,425
971,300,450
972,300,450
973,300,407
974,300,455
975,300,460
976,300,411
977,300,450
978,300,419
979,298,475
980,225,348
981,300,409
982,300,424
983,300,429
984,300,453
985,300,432
986,216,323
987,261,475
988,262,475
989,300,431
990,300,431
991,300,424
992,300,423
993,300,444
994,300,413
995,300,424
996,300,186
997,300,448
998,300,450
999,300,424
1000,255,475
1001,300,450
1002,300,450
1003,300,427
1004,300,425
1005,300,356
1006,216,330
1007,300,450
1008,300,438
1009,300,444
1010,300,439
1011,264,475
1012,300,425
1013,89,141
1014,300,412
1015,300,427
1016,300,444
1017,300,425
1018,300,425
1019,300,417
1020,268,475
1021,300,400
1022,300,428
1023,300,380
1024,300,429
1025,300,422
1026,300,441
1027,267,475
1028,216,323
1029,300,433
1030,300,464
1031,300,450
1032,256,475
1033,300,448
1034,300,450
1035,300,487
1036,300,438
1037,300,449
1038,300,420
1039,300,425
1040,300,420
1041,300,423
1042,300,441
1043,300,450
1044,298,475
1045,300,425
1046,300,450
1047,300,470
1048,300,429
1049,300,425
1050,300,414
1051,300,433
1052,300,437
1053,300,470
1054,300,450
1055,300,432
1056,300,451
1057,300,427
1058,216,325
1059,300,433
1060,300,419
1061,300,422
1062,300,449
1063,300,424
1064,216,347
1065,300,412
1066,300,413
1067,216,290
1068,286,475
1069,300,196
1070,300,383
1071,300,428
1072,300,427
1073,259,475
1074,279,475
1075,300,450
1076,263,475
1077,300,450
1078,300,420
1079,300,394
1080,300,464
1081,300,434
1082,300,450
1083,300,417
1084,300,440
1085,300,188
1086,300,429
1087,300,437
1088,300,472
1089,300,425
1090,300,431
1091,300,450
1092,300,419
1093,300,450
